name,subtype,rules_text,chaos,artist,source,type
Horizon Boughs,Pyrulea,"All permanents untap during each player’s untap step. Whenever chaos ensues, you may search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle.","you may search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle",,Planechase Anthology Planes (OPCA),universe
Hotel of Fears,Spacecraft,"At the beginning of your upkeep, exile the top card of your library. You lose life equal to its mana value. You may play that card this turn. Praise Him — Whenever chaos ensues, choose a color. Put X +1/+1 counters on target creature you control, where X is your devotion to that color. Then sacrifice another creature. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)",choose a color,,Doctor Who (WHO),doctorwho
Immersturm,Valla,"Whenever a creature enters, that creature’s controller may have it deal damage equal to its power to any target of their choice. Whenever chaos ensues, exile target creature, then return it to the battlefield under its owner’s control.","exile target creature, then return it to the battlefield under its owner’s control",,Planechase Anthology Planes (OPCA),universe
Inys Haen,Cridhe,"When you planeswalk to Inys Haen and at the beginning of your upkeep, mill three cards. When you planeswalk away from Inys Haen, each player returns all land cards from their graveyard to the battlefield tapped. Whenever chaos ensues, return target nonland card from your graveyard to your hand.",return target nonland card from your graveyard to your hand,,March of the Machine Commander (MOC),universe
Isle of Vesuva,Dominaria,"Whenever a nontoken creature enters, its controller creates a token that’s a copy of that creature. Whenever chaos ensues, destroy target creature and all other creatures with the same name as that creature.",destroy target creature and all other creatures with the same name as that creature,,March of the Machine Commander (MOC),universe
Izzet Steam Maze,Ravnica,"Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy. Whenever chaos ensues, instant and sorcery spells you cast this turn cost {3} less to cast.",instant and sorcery spells you cast this turn cost {3} less to cast,,Planechase Anthology Planes (OPCA),universe
Jund,Alara,"Whenever a player casts a creature spell that’s black, red, or green, it gains devour 5. (As the creature enters, its controller may sacrifice any number of creatures of their choice. The creature enters with five times that many +1/+1 counters on it.) Whenever chaos ensues, create two 1/1 red Goblin creature tokens.",create two 1/1 red Goblin creature tokens,,March of the Machine Commander (MOC),universe
Kerblam! Warehouse,Kandoka,"Whenever one or more creatures you control deal combat damage to a player, create a Treasure token. Whenever chaos ensues, until your next turn, noncreature artifacts you control gain “{T}, Sacrifice this artifact: Flip a coin. If you win the flip, this artifact deals 3 damage to any target.”","until your next turn, noncreature artifacts you control gain “{T}, Sacrifice this artifact: Flip a coin",,Doctor Who (WHO),doctorwho
Kessig,Innistrad,"Prevent all combat damage that would be dealt by non-Werewolf creatures. Whenever chaos ensues, each creature you control gets +2/+2, gains trample, and becomes a Werewolf in addition to its other types until end of turn.","each creature you control gets +2/+2, gains trample, and becomes a Werewolf in addition to its other types until end of turn",,Planechase Anthology Planes (OPCA),universe
Ketria,Ikoria,"When you planeswalk to Ketria and at the beginning of your upkeep, put your choice of a vigilance, menace, or trample counter on target creature you control. Whenever chaos ensues, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand.",exile cards from the top of your library until you exile a nonland permanent card,,March of the Machine Commander (MOC),universe
Kharasha Foothills,Mongseng,"Whenever a creature you control attacks a player, for each other opponent, you may create a token that’s a copy of that creature, tapped and attacking that opponent. Exile those tokens at the beginning of the next end step. Whenever chaos ensues, you may sacrifice any number of creatures. If you do, Kharasha Foothills deals that much damage to target creature.",you may sacrifice any number of creatures,,March of the Machine Commander (MOC),universe
Kilnspire District,Ravnica,"When you planeswalk to Kilnspire District and at the beginning of your first main phase, put a charge counter on Kilnspire District, then add {R} for each charge counter on it. Whenever chaos ensues, you may pay {X}. If you do, Kilnspire District deals X damage to any target.",you may pay {X},,Planechase Anthology Planes (OPCA),universe
Krosa,Dominaria,"All creatures get +2/+2. Whenever chaos ensues, you may add {W}{U}{B}{R}{G}.",you may add {W}{U}{B}{R}{G},,March of the Machine Commander (MOC),universe
